retweets,user,likes,text,id,replies,url,fullname,timestamp
0,yashankothari,2,This is Beautiful ! @narendramodi #StatueofUnity #SardarVallabhaiPatel #Gujarat #MannKiBaat #VijayLaksh2019 #VijayLakshya2019pic.twitter.com/dGSzf2E3yD,1.05669E+18,0,/yashankothari/status/1056690344664948736,Yashank Kothari  🇮🇳,10/28/18 23:33
0,uks_udayksharma,1,One of the major tourist attractions in US  is the Statue of Liberty. \nI guess India also has one- The Statue of Unity.\n#StatueOfUnity,1.05668E+18,0,/uks_udayksharma/status/1056677258377773056,udayKNEO,10/28/18 22:41
1,LegalKant,4,I will be doing #RunForUnity in #Paris\n\nI hope @Indian_Embassy can organise an event so that more fellow Indians can join this\n\nNo Indian should miss this opportunity\n\nWe exist as India because of #SardarVallabhbhaiPatel\n#StatueOfUnity #Indiahttps://twitter.com/DDNewsLive/status/1056420310839377921 …,1.05667E+18,0,/LegalKant/status/1056665014671675393,रवि कांत,10/28/18 21:52
0,k_sasikumar,0,Thanks to dedicated team of NARMADA Forest division #StatueOfUnity #gujarat,1.05666E+18,0,/k_sasikumar/status/1056662148951109632,Dr. K. SASIKUMAR,10/28/18 21:41
10,LegalKant,17,British State Media running the campaign against #StatueOfUnity which is India's grandest artistic and architectural expression of gratitude to #SardarVallabhbhaiPatel who saved India from British plan of complete disintegrationhttps://www.bbc.com/news/world-asia-india-45978120 …,1.05666E+18,1,/LegalKant/status/1056661308584665089,रवि कांत,10/28/18 21:37
0,gauravs10257,1,The 182-metre-high (600 ft) Statue of Unity will be twice the size of #NewYork's #StatueofLiberty.\nCan't wait see this beautiful creation in reality from my eyes .\n@narendramodi #StatueOfUnity #SardarPatel #india #proud #Gujaratpic.twitter.com/8WWv2aSCGj,1.05666E+18,0,/gauravs10257/status/1056657484213977088,Gaurav Sharma,10/28/18 21:22
1,Top10Bucket,2,Unknown Facts about Statue of Unity \n@souindia @narendramodi #StatueOfUnity #Gujarat...http://youtu.be/qKhFIauwsNo?a,1.05665E+18,0,/Top10Bucket/status/1056645313392492544,TOP 10 Bucket,10/28/18 20:34
2,darji28178,11,"A sight to behold! A view of the world's tallest statue, The Statue of Unity from the valley of flowers located next to it. \n\nThe #StatueOfUnity stands high, in terms of height as well as its historical & national value. #INCREDIBLEINDIA @anandmahindrapic.twitter.com/V5JKMaCr1x",1.05664E+18,1,/darji28178/status/1056638536324022272,Parth Darji,10/28/18 20:07
8,Captbladva,16,"A sight to behold!A view of the world's tallest #statue,The #StatueOfUnity from the #valley of #Flowers located next to it.\nThe #StatueOfUnity stands #high,in terms of #height as well as its #historical & #national #value. #SardarVallabhbhaiPatel #valleyofflowers #Gujarat #Indiapic.twitter.com/9kCIvOUR0k",1.05663E+18,0,/Captbladva/status/1056630880251404289,Capt Banshiva Ladva,10/28/18 19:36
0,Pratpriyadarshi,1,"Bizzare but true that in the history of mankind all shining structures are having base of human flesh n blood but with the passage of time, stench turned into aroma.\n\nhttps://priydarshi-prateek.blogspot.com/2018/10/statue-of-unity.html …\n#StatueOfUnity\n@tavleen_singh",1.05662E+18,0,/Pratpriyadarshi/status/1056624737084940289,Prateek Priyadarshi,10/28/18 19:12
11,InfoGujarat,33,Valley of Flowers' developed around the breathtaking #StatueOfUnity - Glimpses of the countless flowers bloom to carpet the 17-km area on the bank of Narmada in multicoloured hues of rainbow pic.twitter.com/GCm0roqxZe,1.05662E+18,2,/InfoGujarat/status/1056623028401045504,Gujarat Information,10/28/18 19:05
7,BMPRF,6,"Sardar Patel's 182 metres tall statue is built at a cost of ₹2,989 crore. The #StatueOfUnity is one of the most prestigious projects of NDA govt. \nhttps://www.thehindu.com/news/national/statue-of-unity-also-a-tribute-to-indian-engineering-skills-says-lt/article25351661.ece …",1.05662E+18,0,/BMPRF/status/1056622408210284544,BMPRF,10/28/18 19:03
1,tv9gujarati,9,"#Narmada : Glimpses of Valley of Flowers, A major tourist attraction near #StatueOfUnity in #Gujarat. \n#SardarVallabhbhaiPatelpic.twitter.com/jyT9qR0JEx",1.05662E+18,0,/tv9gujarati/status/1056622290224345089,Tv9 Gujarati,10/28/18 19:02
7,AjayKushwaha_,10,United India result of Sardar Vallabhbhai Patel's strategic wisdom: PM Shri @narendramodi Ji #StatueOfUnity https://economictimes.indiatimes.com/news/politics-and-nation/united-india-result-of-sardar-vallabhbhai-patels-strategic-wisdom-narendra-modi/articleshow/66400197.cms?utm_source=twitter.com&utm_medium=Social&utm_campaign=ETTWMain …,1.05662E+18,0,/AjayKushwaha_/status/1056619548697231360,🇮🇳अजय कुशवाहा​ 🇮🇳  🇮🇳Ajay 🇮🇳,10/28/18 18:51
0,DineshVyasBJP,6,"#StatueOfUnity, a tribute to the great Sardar Patel, who devoted his energy for India's unity. @narendramodipic.twitter.com/LlIakuIVlF",1.05661E+18,0,/DineshVyasBJP/status/1056614745913012224,Dinesh Vyas,10/28/18 18:32
0,depensokal,1,Fact about Iron man of INDIA #StatueOfUnity https://twitter.com/PMOIndia/status/1056419149092536320 …,1.05661E+18,0,/depensokal/status/1056612132869963777,Deependra Sokal,10/28/18 18:22
4,iPraveenNath,17,#StatueOfUnity \nA Tribute to #SardarVallabhbhaiPatel- The man who forged the Indian Unionpic.twitter.com/PNWipgRCou,1.05661E+18,0,/iPraveenNath/status/1056611052589174784,Praveen Nath Valsan,10/28/18 18:18
0,krishna27891,2,"Certainly, I am not proud of this achievement. Public money waisted. #StatueOfUnity https://twitter.com/livemint/status/1056604260014579712 …",1.05661E+18,0,/krishna27891/status/1056609403372269568,Mayank Tiwari,10/28/18 18:11
0,mhaider77,1,"I saved money by not buying my kid his uniform and books, and I bought him a PS4.  #StatueOfUnity",1.05661E+18,0,/mhaider77/status/1056609028883865601,Human First,10/28/18 18:09
